target,window,model,base_model,residual_model,RMSE,MAE,MAPE,NRMSE
WTI Oil,tscv_06,PatchTST+LGBM,PatchTST,LGBM,4.629705210955607,4.138116275591205,5.180669221722515,5.723504545802165
WTI Oil,tscv_06,PatchTST,PatchTST,-,5.602269274847035,4.5552713410102,5.778335604591472,6.92584348254355
WTI Oil,tscv_07,PatchTST+XGB,PatchTST,XGB,3.2988978132976206,2.5708918815782327,3.199313930090217,4.127898626269027
WTI Oil,tscv_07,PatchTST,PatchTST,-,3.3326295393791012,2.823976694200303,3.598128231601594,4.170107010291156
WTI Oil,tscv_07,PatchTST+NLinear,PatchTST,NLinear,3.798191005509678,3.0094255518256303,3.7565451041055278,4.752662350058761
WTI Oil,tscv_07,PatchTST+LGBM,PatchTST,LGBM,3.983697856038561,3.022370425578893,3.7524868507863034,4.984786385660885
WTI Oil,tscv_08,PatchTST+XGB,PatchTST,XGB,4.576069900102063,3.8609624228922512,4.970340403663799,5.7829190313582455
WTI Oil,tscv_08,PatchTST+LGBM,PatchTST,LGBM,4.960494337954918,3.7863121179889645,4.872220531937696,6.268727912408966
WTI Oil,tscv_08,PatchTST+NLinear,PatchTST,NLinear,6.391350118527581,5.715399190063478,7.327585878999702,8.076943981052949
WTI Oil,tscv_08,PatchTST,PatchTST,-,8.57197414181682,7.9551948748779315,10.168229889343907,10.832665034228967
WTI Oil,tscv_09,PatchTST+XGB,PatchTST,XGB,4.095843312703733,3.457495112304688,4.3402696735560164,5.223934236838082
WTI Oil,tscv_09,PatchTST,PatchTST,-,5.235674180967507,4.326962148234046,5.380129687523761,6.677701151812525
WTI Oil,tscv_09,PatchTST+LGBM,PatchTST,LGBM,5.289460370037869,4.246550860048372,5.271708839412423,6.746301313757741
WTI Oil,tscv_09,PatchTST+NLinear,PatchTST,NLinear,7.227745605031412,6.511193003540037,8.219361126958065,9.218435579352127
WTI Oil,tscv_10,PatchTST+LGBM,PatchTST,LGBM,2.226659337430571,1.9579629666912162,2.6647820303778973,2.9843905194588767
WTI Oil,tscv_10,PatchTST+XGB,PatchTST,XGB,3.25007143604274,2.733439747314454,3.783152217818322,4.356069299977723
WTI Oil,tscv_10,PatchTST+NLinear,PatchTST,NLinear,4.215647540979642,3.7400463163248667,4.922068369037718,5.650230523901171
WTI Oil,tscv_10,PatchTST,PatchTST,-,4.581692905023351,3.842189921874997,4.990801327667889,6.14084096249862
WTI Oil,tscv_11,PatchTST+LGBM,PatchTST,LGBM,5.332225508645186,4.661199296636533,6.430616313295865,7.380462204245218
WTI Oil,tscv_11,PatchTST+XGB,PatchTST,XGB,5.474472914321762,4.59226377187093,6.351738667462338,7.577350276504309
